5:00:00,5:03:00,5:03:30,5:06:30,5:07:00,5:10:00,5:10:30,5:13:30,5:14:00,5:17:00,5:17:30,5:20:30,5:21:00,5:24:00,5:24:30,5:27:30,5:28:00,5:31:00,5:31:30,5:34:30,5:35:00,5:38:00,5:38:30,5:41:30,5:42:00,5:45:00,5:45:30,5:48:30,5:49:00,5:52:00,5:52:30,5:55:30,5:56:00,5:59:00,5:59:30,6:02:30,6:03:00,6:06:00,
5:05:00,5:08:00,5:08:30,5:11:30,5:12:00,5:15:00,5:15:30,5:18:30,5:19:00,5:22:00,5:22:30,5:25:30,5:26:00,5:29:00,5:29:30,5:32:30,5:33:00,5:36:00,5:36:30,5:39:30,5:40:00,5:43:00,5:43:30,5:46:30,5:47:00,5:50:00,5:50:30,5:53:30,5:54:00,5:57:00,5:57:30,6:00:30,6:01:00,6:04:00,6:04:30,6:07:30,6:08:00,6:11:00,
5:10:00,5:13:00,5:13:30,5:16:30,5:17:00,5:20:00,5:20:30,5:23:30,5:24:00,5:27:00,5:27:30,5:30:30,5:31:00,5:34:00,5:34:30,5:37:30,5:38:00,5:41:00,5:41:30,5:44:30,5:45:00,5:48:00,5:48:30,5:51:30,5:52:00,5:55:00,5:55:30,5:58:30,5:59:00,6:02:00,6:02:30,6:05:30,6:06:00,6:09:00,6:09:30,6:12:30,6:13:00,6:16:00,
5:15:00,5:18:00,5:18:30,5:21:30,5:22:00,5:25:00,5:25:30,5:28:30,5:29:00,5:32:00,5:32:30,5:35:30,5:36:00,5:39:00,5:39:30,5:42:30,5:43:00,5:46:00,5:46:30,5:49:30,5:50:00,5:53:00,5:53:30,5:56:30,5:57:00,6:00:00,6:00:30,6:03:30,6:04:00,6:07:00,6:07:30,6:10:30,6:11:00,6:14:00,6:14:30,6:17:30,6:18:00,6:21:00,
5:20:00,5:23:00,5:23:30,5:26:30,5:27:00,5:30:00,5:30:30,5:33:30,5:34:00,5:37:00,5:37:30,5:40:30,5:41:00,5:44:00,5:44:30,5:47:30,5:48:00,5:51:00,5:51:30,5:54:30,5:55:00,5:58:00,5:58:30,6:01:30,6:02:00,6:05:00,6:05:30,6:08:30,6:09:00,6:12:00,6:12:30,6:15:30,6:16:00,6:19:00,6:19:30,6:22:30,6:23:00,6:26:00,
5:25:00,5:28:00,5:28:30,5:31:30,5:32:00,5:35:00,5:35:30,5:38:30,5:39:00,5:42:00,5:42:30,5:45:30,5:46:00,5:49:00,5:49:30,5:52:30,5:53:00,5:56:00,5:56:30,5:59:30,6:00:00,6:03:00,6:03:30,6:06:30,6:07:00,6:10:00,6:10:30,6:13:30,6:14:00,6:17:00,6:17:30,6:20:30,6:21:00,6:24:00,6:24:30,6:27:30,6:28:00,6:31:00,
5:30:00,5:33:00,5:33:30,5:36:30,5:37:00,5:40:00,5:40:30,5:43:30,5:44:00,5:47:00,5:47:30,5:50:30,5:51:00,5:54:00,5:54:30,5:57:30,5:58:00,6:01:00,6:01:30,6:04:30,6:05:00,6:08:00,6:08:30,6:11:30,6:12:00,6:15:00,6:15:30,6:18:30,6:19:00,6:22:00,6:22:30,6:25:30,6:26:00,6:29:00,6:29:30,6:32:30,6:33:00,6:36:00,
5:35:00,5:38:00,5:38:30,5:41:30,5:42:00,5:45:00,5:45:30,5:48:30,5:49:00,5:52:00,5:52:30,5:55:30,5:56:00,5:59:00,5:59:30,6:02:30,6:03:00,6:06:00,6:06:30,6:09:30,6:10:00,6:13:00,6:13:30,6:16:30,6:17:00,6:20:00,6:20:30,6:23:30,6:24:00,6:27:00,6:27:30,6:30:30,6:31:00,6:34:00,6:34:30,6:37:30,6:38:00,6:41:00,
5:40:00,5:43:00,5:43:30,5:46:30,5:47:00,5:50:00,5:50:30,5:53:30,5:54:00,5:57:00,5:57:30,6:00:30,6:01:00,6:04:00,6:04:30,6:07:30,6:08:00,6:11:00,6:11:30,6:14:30,6:15:00,6:18:00,6:18:30,6:21:30,6:22:00,6:25:00,6:25:30,6:28:30,6:29:00,6:32:00,6:32:30,6:35:30,6:36:00,6:39:00,6:39:30,6:42:30,6:43:00,6:46:00,
5:45:00,5:48:00,5:48:30,5:51:30,5:52:00,5:55:00,5:55:30,5:58:30,5:59:00,6:02:00,6:02:30,6:05:30,6:06:00,6:09:00,6:09:30,6:12:30,6:13:00,6:16:00,6:16:30,6:19:30,6:20:00,6:23:00,6:23:30,6:26:30,6:27:00,6:30:00,6:30:30,6:33:30,6:34:00,6:37:00,6:37:30,6:40:30,6:41:00,6:44:00,6:44:30,6:47:30,6:48:00,6:51:00,
